tenant_name,fund,property,market,activity,yardi_match_found,customer_code
A&J Direct,Fund 2,201 James Street,Chicago,New,No,
"Amphenol EEC, Inc.",Fund 2,1701 Birchwood,Chicago,Renew,No,c0000100
Bengal Converting Services Inc.,Fund 2,18 Railroad Street,Philadelphia,Renew,No,c0000136
Bengal GRP LLC,Fund 2,18 Railroad Street,Philadelphia,New,No,
"Blendco Systems, LLC (Dubois)",Fund 2,1 Pearl Buck Court,North New Jersey,Restructure,No,c0000147
Bunting Magnetics Company,Fund 2,1100-1150 Howard,Chicago,Renew,No,c0000159
"CONTENT CRITICAL SOLUTIONS, INC",Fund 2,121 Moonachie Ave,North New Jersey,Renew,No,c0000206
"EA Engineering, Science, and Technology, Inc.",Fund 2,1601-1641 Sherman Avenue,Philadelphia,New,No,c0000245
"Family Vending, LLC",Fund 2,201 James Street,Chicago,New,No,
"G&W Products, LLC",Fund 2,8655 Seward Road,Cincinnati,Renew,No,c0000301
International General Trading Corp,Fund 2,2616 Andjon Drive,Dallas,New,No,
KREG,Fund 2,3045-3065 Switzer Avenue,Columbus,Renew,No,c0000414
Olive My Pickle,Fund 2,7720 Philips Highway,Jacksonville,New,No,
Trident ExIm LLC,Fund 2,900 Business Center Drive,Chicago,New,No,
VIE DE France Yamazaki Inc,Fund 2,4507 Mills Place,Atlanta,Renew,No,c0000746
"Aluma-Form, Inc.",Fund 3,3755 Knight Arnold Road,Memphis,Renew,No,c0000973
"Beard Integrated Systems, Inc.",Fund 3,1501 Kings Road,Dallas,New,No,
Buckhead Elite Gym (dba Champion Gymnastics and Cheer),Fund 3,2160 Hills Avenue,Atlanta,New,No,
CFC Group,Fund 3,2160 Hills Avenue,Atlanta,New,No,c0000897
Circuit Works Corporation,Fund 3,10755 Sanden Drive,Dallas,New,No,
Digi America,Fund 3,155 Pierce Street,Northern NJ/New York,New,No,
Icon Mechanical,Fund 3,12140 Vance Davis,Charlotte,New,No,
Intercontinental Exchange,Fund 3,3 Pearl Court,North New Jersey,New,No,
Koontz Electric,Fund 3,3338 Democrat Road,Memphis,New,No,
March Products Inc DBA Goldcrest LLC,Fund 3,1101 Venture Ct.,Dallas,New,No,
Marcolin U.S.A. Eyewear Corp.,Fund 3,3140 Route 22,Northern NJ/New York,Renew,No,c0000771
Prime Egrocery Inc,Fund 3,9176 Red Branch,Baltimore/DC,New,No,c0000918
"SRS Distribution, Inc.",Fund 3,1400 Beaver Ruin Rd,Atlanta,Renew,No,c0000051
USCutter Inc.,Fund 3,3696 Knight Road,Memphis,Renew,No,c0000969