hMy_Propert,Propery Code,hMyPerson_Vendor,Appraiser Vendor ID,Appraiser Name,Valuation Date,Valuation Type Code,Valuation Type,Property Valuation
2993,"xfl4646g",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-06-30 00:00:00",0,"External",9700000
2994,"xnj9100p",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-03-31 00:00:00",0,"External",7100000
2994,"xnj9100p",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2022-09-30 00:00:00",0,"External",6800000
2994,"xnj9100p",36968,"FV0012      ","JLL Valuation & Advisory Services, LLC (FRG-X)","2024-03-31 00:00:00",0,"External",6500000
3201,"xtx111pl",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2022-09-30 00:00:00",0,"External",14300000
3201,"xtx111pl",36968,"FV0012      ","JLL Valuation & Advisory Services, LLC (FRG-X)","2023-09-30 00:00:00",0,"External",14000000
3202,"xtx467wa",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-03-31 00:00:00",0,"External",5300000
3202,"xtx467wa",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2022-09-30 00:00:00",0,"External",5400000
3203,"xtx310an",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2022-09-30 00:00:00",0,"External",9500000
3203,"xtx310an",36968,"FV0012      ","JLL Valuation & Advisory Services, LLC (FRG-X)","2023-09-30 00:00:00",0,"External",9300000
3204,"xtx1919a",36968,"FV0012      ","JLL Valuation & Advisory Services, LLC (FRG-X)","2023-09-30 00:00:00",0,"External",6300000
3204,"xtx1919a",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2022-09-30 00:00:00",0,"External",6500000
3272,"xnj400wa",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2022-09-30 00:00:00",0,"External",5400000
3272,"xnj400wa",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-03-31 00:00:00",0,"External",5100000
3272,"xnj400wa",36968,"FV0012      ","JLL Valuation & Advisory Services, LLC (FRG-X)","2024-03-31 00:00:00",0,"External",4700000
3273,"xga3350h",36968,"FV0012      ","JLL Valuation & Advisory Services, LLC (FRG-X)","2024-03-31 00:00:00",0,"External",8970000
3273,"xga3350h",36968,"FV0012      ","JLL Valuation & Advisory Services, LLC (FRG-X)","2023-09-30 00:00:00",0,"External",9300000
3273,"xga3350h",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2022-09-30 00:00:00",0,"External",9800000
3274,"xtx4679w",36968,"FV0012      ","JLL Valuation & Advisory Services, LLC (FRG-X)","2024-03-31 00:00:00",0,"External",5100000
3278,"xfl7720p",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2022-09-30 00:00:00",0,"External",11300000
3278,"xfl7720p",36968,"FV0012      ","JLL Valuation & Advisory Services, LLC (FRG-X)","2023-09-30 00:00:00",0,"External",11300000
3301,"xil121lo",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-06-30 00:00:00",0,"External",2500000
3301,"xil121lo",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2022-09-30 00:00:00",0,"External",2700000
3302,"xnj121mo",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2022-09-30 00:00:00",0,"External",18500000
3302,"xnj121mo",36968,"FV0012      ","JLL Valuation & Advisory Services, LLC (FRG-X)","2023-09-30 00:00:00",0,"External",17600000
3304,"xpa4200m",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-03-31 00:00:00",0,"External",5500000
3304,"xpa4200m",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2022-09-30 00:00:00",0,"External",6300000
3304,"xpa4200m",36968,"FV0012      ","JLL Valuation & Advisory Services, LLC (FRG-X)","2024-03-31 00:00:00",0,"External",5500000
3306,"xpa500ma",36968,"FV0012      ","JLL Valuation & Advisory Services, LLC (FRG-X)","2024-03-31 00:00:00",0,"External",19500000
3306,"xpa500ma",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2022-09-30 00:00:00",0,"External",20500000
3306,"xpa500ma",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-03-31 00:00:00",0,"External",19000000
3307,"xtx10704",36968,"FV0012      ","JLL Valuation & Advisory Services, LLC (FRG-X)","2023-09-30 00:00:00",0,"External",3940000
3307,"xtx10704",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2022-09-30 00:00:00",0,"External",3900000
3308,"xfl420sw",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2022-09-30 00:00:00",0,"External",5300000
3308,"xfl420sw",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-03-31 00:00:00",0,"External",5200000
3308,"xfl420sw",36968,"FV0012      ","JLL Valuation & Advisory Services, LLC (FRG-X)","2024-03-31 00:00:00",0,"External",5280000
3351,"xnj121hi",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2022-09-30 00:00:00",0,"External",8300000
3356,"xga401wi",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2022-09-30 00:00:00",0,"External",11100000
3356,"xga401wi",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-03-31 00:00:00",0,"External",10700000
3356,"xga401wi",36968,"FV0012      ","JLL Valuation & Advisory Services, LLC (FRG-X)","2024-03-31 00:00:00",0,"External",7980000
3364,"xtn3961o",36968,"FV0012      ","JLL Valuation & Advisory Services, LLC (FRG-X)","2024-03-31 00:00:00",0,"External",5090000
3364,"xtn3961o",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-03-31 00:00:00",0,"External",5200000
3367,"xil1600b",36968,"FV0012      ","JLL Valuation & Advisory Services, LLC (FRG-X)","2023-09-30 00:00:00",0,"External",6500000
3367,"xil1600b",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2022-09-30 00:00:00",0,"External",6700000
3368,"xil1630b",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2022-09-30 00:00:00",0,"External",4300000
3368,"xil1630b",36968,"FV0012      ","JLL Valuation & Advisory Services, LLC (FRG-X)","2023-09-30 00:00:00",0,"External",4100000
3374,"xnj6925s",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-03-31 00:00:00",0,"External",3000000
3374,"xnj6925s",36968,"FV0012      ","JLL Valuation & Advisory Services, LLC (FRG-X)","2024-03-31 00:00:00",0,"External",3500000
3376,"xga9335i",36968,"FV0012      ","JLL Valuation & Advisory Services, LLC (FRG-X)","2024-03-31 00:00:00",0,"External",3150000
3376,"xga9335i",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-03-31 00:00:00",0,"External",3100000
3377,"xil11697",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-03-31 00:00:00",0,"External",4100000
3377,"xil11697",36968,"FV0012      ","JLL Valuation & Advisory Services, LLC (FRG-X)","2024-03-31 00:00:00",0,"External",4510000
3388,"xnj2050h",36968,"FV0012      ","JLL Valuation & Advisory Services, LLC (FRG-X)","2024-03-31 00:00:00",0,"External",3800000
3388,"xnj2050h",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-03-31 00:00:00",0,"External",4100000
3545,"xil231ja",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-03-31 00:00:00",0,"External",5200000
3545,"xil231ja",36968,"FV0012      ","JLL Valuation & Advisory Services, LLC (FRG-X)","2024-03-31 00:00:00",0,"External",5610000
3546,"xil240ja",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-03-31 00:00:00",0,"External",4400000
3547,"xil201ja",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-03-31 00:00:00",0,"External",3000000
3547,"xil201ja",36968,"FV0012      ","JLL Valuation & Advisory Services, LLC (FRG-X)","2024-03-31 00:00:00",0,"External",3210000
3548,"xil141be",36968,"FV0012      ","JLL Valuation & Advisory Services, LLC (FRG-X)","2024-03-31 00:00:00",0,"External",1700000
3548,"xil141be",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-03-31 00:00:00",0,"External",1560000
3569,"3nj00001",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-06-30 00:00:00",0,"External",7100000
3575,"xtx1709s",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-03-31 00:00:00",0,"External",23600000
3575,"xtx1709s",36968,"FV0012      ","JLL Valuation & Advisory Services, LLC (FRG-X)","2024-03-31 00:00:00",0,"External",24000000
3579,"xtx3857m",36968,"FV0012      ","JLL Valuation & Advisory Services, LLC (FRG-X)","2024-03-31 00:00:00",0,"External",5210000
3579,"xtx3857m",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-03-31 00:00:00",0,"External",4600000
3621,"xtx2445s",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-06-30 00:00:00",0,"External",5400000
3622,"xtx1050k",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-03-31 00:00:00",0,"External",5900000
3622,"xtx1050k",36968,"FV0012      ","JLL Valuation & Advisory Services, LLC (FRG-X)","2024-03-31 00:00:00",0,"External",6260000
3623,"xga3471a",36968,"FV0012      ","JLL Valuation & Advisory Services, LLC (FRG-X)","2024-03-31 00:00:00",0,"External",5100000
3623,"xga3471a",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-03-31 00:00:00",0,"External",5100000
3624,"xtx1721s",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-06-30 00:00:00",0,"External",5800000
3625,"xtx11839",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-06-30 00:00:00",0,"External",14600000
3626,"xil1200p",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-03-31 00:00:00",0,"External",3300000
3626,"xil1200p",36968,"FV0012      ","JLL Valuation & Advisory Services, LLC (FRG-X)","2024-03-31 00:00:00",0,"External",3430000
3629,"xtx4666d",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-06-30 00:00:00",0,"External",15900000
3630,"3pa00001",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-06-30 00:00:00",0,"External",6000000
3631,"xga1610s",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-03-31 00:00:00",0,"External",3800000
3631,"xga1610s",36968,"FV0012      ","JLL Valuation & Advisory Services, LLC (FRG-X)","2024-03-31 00:00:00",0,"External",3900000
3632,"xga2900j",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-06-30 00:00:00",0,"External",10100000
3633,"3md00001",36959,"FV0003      ","JLL Valuation & Advisory Services, LLC (Fund3)","2023-09-30 00:00:00",0,"External",11000000
3634,"3ga00001",36959,"FV0003      ","JLL Valuation & Advisory Services, LLC (Fund3)","2023-09-30 00:00:00",0,"External",6600000
3635,"xga4450c",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-03-31 00:00:00",0,"External",1720000
3635,"xga4450c",36968,"FV0012      ","JLL Valuation & Advisory Services, LLC (FRG-X)","2024-03-31 00:00:00",0,"External",1860000
3636,"xfl3333c",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-03-31 00:00:00",0,"External",6300000
3636,"xfl3333c",36968,"FV0012      ","JLL Valuation & Advisory Services, LLC (FRG-X)","2024-03-31 00:00:00",0,"External",7070000
3637,"xnj59cha",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-03-31 00:00:00",0,"External",1980000
3637,"xnj59cha",36968,"FV0012      ","JLL Valuation & Advisory Services, LLC (FRG-X)","2024-03-31 00:00:00",0,"External",2200000
3638,"xil7760m",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-06-30 00:00:00",0,"External",5500000
3639,"xil2710l",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-06-30 00:00:00",0,"External",2500000
3640,"xil1000e",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-06-30 00:00:00",0,"External",2900000
3641,"xpa3041m",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-03-31 00:00:00",0,"External",10500000
3641,"xpa3041m",36968,"FV0012      ","JLL Valuation & Advisory Services, LLC (FRG-X)","2024-03-31 00:00:00",0,"External",10500000
3642,"xnj19ind",36968,"FV0012      ","JLL Valuation & Advisory Services, LLC (FRG-X)","2024-03-31 00:00:00",0,"External",13200000
3642,"xnj19ind",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-03-31 00:00:00",0,"External",13100000
3644,"3tn00002",36959,"FV0003      ","JLL Valuation & Advisory Services, LLC (Fund3)","2023-09-30 00:00:00",0,"External",1700000
3645,"3tn00003",36959,"FV0003      ","JLL Valuation & Advisory Services, LLC (Fund3)","2023-09-30 00:00:00",0,"External",7900000
3647,"3tn00005",36959,"FV0003      ","JLL Valuation & Advisory Services, LLC (Fund3)","2023-09-30 00:00:00",0,"External",12500000
3649,"3nj00002",36959,"FV0003      ","JLL Valuation & Advisory Services, LLC (Fund3)","2023-09-30 00:00:00",0,"External",12200000
3651,"3fl00003",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-06-30 00:00:00",0,"External",9100000
3652,"xnj70cat",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-06-30 00:00:00",0,"External",2300000
3667,"xnj6900r",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-06-30 00:00:00",0,"External",2900000
3668,"xga3651c",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-03-31 00:00:00",0,"External",3600000
3668,"xga3651c",36968,"FV0012      ","JLL Valuation & Advisory Services, LLC (FRG-X)","2024-03-31 00:00:00",0,"External",3550000
3669,"xil222ja",36968,"FV0012      ","JLL Valuation & Advisory Services, LLC (FRG-X)","2024-03-31 00:00:00",0,"External",3400000
3669,"xil222ja",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-03-31 00:00:00",0,"External",3200000
3670,"xga1585r",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-06-30 00:00:00",0,"External",6900000
3671,"xoh154co",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-06-30 00:00:00",0,"External",6000000
3714,"3md00002",36959,"FV0003      ","JLL Valuation & Advisory Services, LLC (Fund3)","2023-09-30 00:00:00",0,"External",10700000
3728,"xnj1803u",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-06-30 00:00:00",0,"External",2460000
3729,"xga3100j",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-06-30 00:00:00",0,"External",4600000
3735,"3ga00002",36959,"FV0003      ","JLL Valuation & Advisory Services, LLC (Fund3)","2023-09-30 00:00:00",0,"External",13000000
3736,"3il00001",36959,"FV0003      ","JLL Valuation & Advisory Services, LLC (Fund3)","2023-09-30 00:00:00",0,"External",3400000
3737,"3oh00001",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-03-31 00:00:00",0,"External",12900000
3737,"3oh00001",36959,"FV0003      ","JLL Valuation & Advisory Services, LLC (Fund3)","2024-03-31 00:00:00",0,"External",17300000
3738,"xil1100h",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-06-30 00:00:00",0,"External",2500000
3739,"xil1701b",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-06-30 00:00:00",0,"External",4200000
3740,"3nj00003",36959,"FV0003      ","JLL Valuation & Advisory Services, LLC (Fund3)","2023-09-30 00:00:00",0,"External",11100000
3741,"3il00002",36959,"FV0003      ","JLL Valuation & Advisory Services, LLC (Fund3)","2023-09-30 00:00:00",0,"External",3400000
3795,"xnj1980o",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-06-30 00:00:00",0,"External",1830000
3796,"3ga00003",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-06-30 00:00:00",0,"External",11000000
3797,"3fl00004",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-06-30 00:00:00",0,"External",5800000
3798,"3il00003",36959,"FV0003      ","JLL Valuation & Advisory Services, LLC (Fund3)","2023-09-30 00:00:00",0,"External",2000000
3799,"3il00004",36959,"FV0003      ","JLL Valuation & Advisory Services, LLC (Fund3)","2023-09-30 00:00:00",0,"External",3200000
3800,"3ny00001",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-03-31 00:00:00",0,"External",5700000
3800,"3ny00001",36959,"FV0003      ","JLL Valuation & Advisory Services, LLC (Fund3)","2024-03-31 00:00:00",0,"External",5820000
3818,"3tx00001",36959,"FV0003      ","JLL Valuation & Advisory Services, LLC (Fund3)","2023-09-30 00:00:00",0,"External",7670000
3836,"3tx00002",36959,"FV0003      ","JLL Valuation & Advisory Services, LLC (Fund3)","2023-09-30 00:00:00",0,"External",8120000
4075,"xga1145b",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-06-30 00:00:00",0,"External",5600000
4076,"3nj00005",36959,"FV0003      ","JLL Valuation & Advisory Services, LLC (Fund3)","2023-09-30 00:00:00",0,"External",8400000
4077,"3nj00004",36959,"FV0003      ","JLL Valuation & Advisory Services, LLC (Fund3)","2023-09-30 00:00:00",0,"External",4600000
4078,"3oh00002",36959,"FV0003      ","JLL Valuation & Advisory Services, LLC (Fund3)","2023-09-30 00:00:00",0,"External",3100000
4079,"3md00003",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-03-31 00:00:00",0,"External",4600000
4079,"3md00003",36959,"FV0003      ","JLL Valuation & Advisory Services, LLC (Fund3)","2024-03-31 00:00:00",0,"External",4600000
4116,"3ga00004",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-06-30 00:00:00",0,"External",5100000
4125,"3il00005",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-03-31 00:00:00",0,"External",6100000
4125,"3il00005",36959,"FV0003      ","JLL Valuation & Advisory Services, LLC (Fund3)","2024-03-31 00:00:00",0,"External",6300000
4171,"3tx00004",36959,"FV0003      ","JLL Valuation & Advisory Services, LLC (Fund3)","2024-03-31 00:00:00",0,"External",17200000
4171,"3tx00004",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-03-31 00:00:00",0,"External",16800000
4176,"3tx00009",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-03-31 00:00:00",0,"External",9300000
4176,"3tx00009",36959,"FV0003      ","JLL Valuation & Advisory Services, LLC (Fund3)","2024-03-31 00:00:00",0,"External",9280000
4722,"3nj00006",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-06-30 00:00:00",0,"External",26800000
4727,"3nc00001",36959,"FV0003      ","JLL Valuation & Advisory Services, LLC (Fund3)","2024-03-31 00:00:00",0,"External",5650000
4800,"3fl00006",36959,"FV0003      ","JLL Valuation & Advisory Services, LLC (Fund3)","2024-03-31 00:00:00",0,"External",5830000
4818,"3nj00007",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-06-30 00:00:00",0,"External",16800000
4819,"3nj00008",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-06-30 00:00:00",0,"External",16700000
5710,"3nj00010",36959,"FV0003      ","JLL Valuation & Advisory Services, LLC (Fund3)","2024-03-31 00:00:00",0,"External",11100000
5711,"3nj00011",36959,"FV0003      ","JLL Valuation & Advisory Services, LLC (Fund3)","2024-03-31 00:00:00",0,"External",9500000
5712,"3nj00012",36959,"FV0003      ","JLL Valuation & Advisory Services, LLC (Fund3)","2024-03-31 00:00:00",0,"External",9400000
5714,"3nj00013",36959,"FV0003      ","JLL Valuation & Advisory Services, LLC (Fund3)","2024-03-31 00:00:00",0,"External",8700000
5715,"3nj00014",36959,"FV0003      ","JLL Valuation & Advisory Services, LLC (Fund3)","2024-03-31 00:00:00",0,"External",22100000
5716,"3nj00015",36959,"FV0003      ","JLL Valuation & Advisory Services, LLC (Fund3)","2024-03-31 00:00:00",0,"External",10100000
5717,"3nj00016",36959,"FV0003      ","JLL Valuation & Advisory Services, LLC (Fund3)","2024-03-31 00:00:00",0,"External",13700000
5729,"3nj00017",36959,"FV0003      ","JLL Valuation & Advisory Services, LLC (Fund3)","2024-03-31 00:00:00",0,"External",22100000
5731,"3nj00018",36959,"FV0003      ","JLL Valuation & Advisory Services, LLC (Fund3)","2024-03-31 00:00:00",0,"External",25900000
5733,"3nj00019",36959,"FV0003      ","JLL Valuation & Advisory Services, LLC (Fund3)","2024-03-31 00:00:00",0,"External",34900000
